類別	名稱	地址	電話
地區醫院	衛生福利部花蓮醫院豐濱原住民分院	花蓮縣豐濱鄉豐濱村光豐路41號	03-8358141
地區醫院	謝外科醫院	高雄市三民區河北一路330號	07-2360121
地區醫院	原祿骨科醫院	高雄市新興區中正三路52號	07-2371013
地區醫院	高雄市立旗津醫院（委託財團法人私立高雄醫學大學經營）	高雄市旗津區旗港路33號	07-5711188
地區醫院	霖園醫院	高雄市林園區林園里林園北路244號	07-6413399
地區醫院	文雄醫院	高雄市三民區察哈爾二街132號地下1層地上1至5層	07-3165275
地區醫院	瑞生醫院	高雄市大寮區鳳林四路192號	07-7835175
地區醫院	佑青醫療財團法人佑青醫院	屏東縣內埔鄉建興村建興路218巷19號	08-7705115
地區醫院	屏安醫療社團法人屏安醫院	屏東縣長治鄉榮華村信義路129號	08-7622670
地區醫院	安和醫療社團法人安和醫院	屏東縣屏東市崇蘭里自由路598號	08-7651828
地區醫院	優生醫療社團法人優生醫院	屏東縣屏東市華山里瑞光路三段103號	08-7382222
地區醫院	大新醫院	屏東縣高樹鄉長榮村興中路208號	08-7962033
地區醫院	邱外科醫院	高雄市苓雅區成功一路137號1－6樓	07-3364131
地區醫院	劉嘉修醫院	高雄市岡山區岡山路426及428號	07-6221231
地區醫院	仁惠婦幼醫院	高雄市鳳山區自由路81號	07-7104397
地區醫院	安泰醫院	高雄市小港區學府路111號	07-8017856
地區醫院	吳昆哲婦產小兒科醫院	高雄市前鎮區興東里民權二路430號	07-3319611
地區醫院	中正脊椎骨科醫院	高雄市前金區中正四路99號1樓及100號地下1樓，地上13樓	07-2855999
地區醫院	優生婦產科醫院	高雄市鳳山區協和里自由路189號	07-7478629
地區醫院	上琳醫院	高雄市前金區自強一路67號B1-7樓	07-2828668
地區醫院	三聖醫院	高雄市美濃區合和里合和路56號及58號，成功路182－2號	07-6818495
地區醫院	生安婦產小兒科醫院	高雄市鼓山區美術東二路177號Ｂ2－11Ｆ	07-5223138
地區醫院	新高鳳醫院	高雄市鳳山區光遠路360號1－7樓	07-7472320
地區醫院	杏和醫院	高雄市鳳山區五甲二路385號、387號、389號、391號	07-7613111
地區醫院	愛仁醫療社團法人愛仁醫院	高雄市三民區民族一路45號1樓至4樓及49．51號1樓至4樓	07-3115159
地區醫院	建佑醫院	高雄市林園區東林西路360，362號，399號，407巷7號	07-6437901
地區醫院	健新醫院	高雄市前金區七賢二路295號	07-2613866
地區醫院	蕭志文醫院	高雄市新興區七賢一路102號	07-2240252
地區醫院	民眾醫院	屏東縣屏東市忠孝路120之1號	08-7325455
地區醫院	德謙醫院	高雄市三民區九如二路18號	07-3210981
地區醫院	財團法人台灣省私立台南仁愛之家附設仁馨醫院	臺南市新化區中山路20號	06-5902336
地區醫院	宏科醫院	臺南市善化區南關里三民路1－35號	06-5818868
地區醫院	蔡醫院	雲林縣土庫鎮中山路64號	05-6622580
地區醫院	北港仁一醫院	雲林縣北港鎮公園路155號	05-7827666
地區醫院	衛生福利部朴子醫院	嘉義縣朴子市永和里42－50號	05-3790600
地區醫院	盧亞人醫院	嘉義市西區北杏里民權路406號	05-2248347
地區醫院	仁德醫療社團法人陳仁德醫院	嘉義市西區林森西路285號	05-2258279
地區醫院	信一骨科醫院	臺南市新營區民生路43－26號	06-6350035
地區醫院	陳澤彥婦產科醫院	臺南市北區中華北路二段101號1、2、3樓	06-3505000
地區醫院	新興醫療社團法人新興醫院	臺南市新營區中興路10號	06-6330011
地區醫院	恆基醫療財團法人恆春基督教醫院	屏東縣恆春鎮山腳里恆西路21號	08-8892293
地區醫院	天主教聖功醫療財團法人聖功醫院	高雄市苓雅區建國一路352號	07-2238153
地區醫院	大東醫院	高雄市鳳山區三民里光遠路171－2號	07-7463762
地區醫院	仁愛醫療社團法人仁愛醫院	臺南市東區北門路1段10號及北門路1段30巷16號	06-2213111
地區醫院	衛生福利部胸腔病院	臺南市仁德區中山路864號	06-2705911
地區醫院	衛生福利部新營醫院	臺南市新營區信義街73號	06-6351131
地區醫院	仁村醫院	臺南市中區仙草里西門路一段486號，488號、府緯街63號	06-2152607
地區醫院	洪外科醫院	臺南市中西區民生路2段60號	06-2240011
地區醫院	永和醫院	臺南市中區福安里府前路一段304巷2號	06-2231191
地區醫院	晉生醫療社團法人晉生慢性醫院	臺南市永康區中山南路902巷5號2樓及7號	06-2330003
地區醫院	高雄榮民總醫院臺南分院	臺南市永康區復興里復興路427號	06-3125101
地區醫院	營新醫院	臺南市新營區隋唐街228號	06-6592345
地區醫院	永川醫院	臺南市中區觀音里成功路169號	06-2245771
地區醫院	開元寺慈愛醫院	臺南市北區北園街89－1號	06-2384111
地區醫院	吉安醫療社團法人吉安醫院	臺南市關廟區花園里中正路435號1、2樓	06-6025115
地區醫院	豐安醫院	臺中市豐原區中正路115號	04-25231180
地區醫院	佛教慈濟醫療財團法人玉里慈濟醫院	花蓮縣玉里鎮民權街1－1號	03-8882718
地區醫院	衛生福利部花蓮醫院	花蓮縣花蓮市中正路600號	03-8358141
地區醫院	安泰醫療社團法人潮州安泰醫院	屏東縣潮州鎮三星里四維路162及193號	08-7800888
地區醫院	東基醫療財團法人台東基督教醫院	臺東縣臺東市開封街350號	089-960888
地區醫院	國軍高雄總醫院屏東分院附設民眾診療服務處	屏東縣屏東市大湖路58巷22號	08-7560756
地區醫院	南門醫療社團法人南門醫院	屏東縣恆春鎮南門路10號	08-8894568
地區醫院	高雄市立岡山醫院（委託秀傳醫療社團法人經營）	高雄市岡山區壽天路12號	07-6222131
地區醫院	茂隆骨科醫院	屏東縣潮州鎮朝昇路322號	08-7801915
地區醫院	枋寮醫療社團法人枋寮醫院	屏東縣枋寮鄉安樂村中山路139號	08-8789991
地區醫院	柏仁醫院	高雄市左營區博愛二路三五0號（一樓至三樓）	07-5508888
地區醫院	右昌聯合醫院	高雄市楠梓區軍校路930號Ｂ1至9樓	07-3643388
地區醫院	高雄榮民總醫院屏東分院	屏東縣內埔鄉龍潭村昭勝路安平一巷1號	08-7704115
地區醫院	諸元內科醫院	雲林縣北港鎮中和里中山路125號	05-7832068
地區醫院	慶昇醫療社團法人慶昇醫院	嘉義市西區新榮路339、339－1號	05-2229191
地區醫院	志誠醫院	臺南市北區公園路315之1號	06-2210423
地區醫院	衛生福利部恆春旅遊醫院	屏東縣恆春鎮山腳里恆南路188號	08-8892704
地區醫院	健仁醫院	高雄市楠梓區中陽里楠陽路136號	07-3517166
地區醫院	高雄市立民生醫院	高雄市苓雅區凱旋二路134號及132號5樓	07-7511131
地區醫院	衛生福利部旗山醫院	高雄市旗山區大德里中學路60號	07-6613811
地區醫院	衛生福利部臺南醫院新化分院	臺南市新化區那拔里牧場72號	06-5911929
地區醫院	郭綜合醫院	臺南市民生路二段18．20．22．23．24．25．27號	06-2221111
地區醫院	高新醫院	高雄市路竹區中山路627號	07-6975903
地區醫院	義大醫療財團法人義大癌治療醫院	高雄市燕巢區角宿里義大路21號Ｂ2－10樓	07-6150022
地區醫院	洪揚醫院	雲林縣斗六市文化路138號	05-5323039
地區醫院	育仁醫院	雲林縣西螺鎮延平路162號	05-5864574
地區醫院	長庚醫療財團法人雲林長庚紀念醫院	雲林縣麥寮鄉中興村工業路1500號	05-6915151
地區醫院	卓醫院	彰化縣北斗鎮西安里中山路一段311號	04-8882995
地區醫院	南星醫院	彰化縣北斗鎮居仁里斗苑路一段26號	04-8872178
地區醫院	仁和醫院	彰化縣田中鎮中路里中州路一段157號	04-8742108
地區醫院	道周醫療社團法人道周醫院	彰化縣和美鎮和光路180號、和善路118號	04-7566995
地區醫院	惠來醫療社團法人宏仁醫院	彰化縣員林市惠來街89號、91號	04-8375878
地區醫院	員林何醫院	彰化縣員林市中山里民族街33號	04-8325111
地區醫院	皓生醫院	彰化縣員林市中正里萬年路3段133號	04-8379560
地區醫院	敦仁醫院	彰化縣員林市振興里員水路1段102巷74弄99號	04-7071727
地區醫院	冠華醫院	彰化縣彰化市光復里中正路一段437號	04-7256067
地區醫院	明德醫院	彰化縣彰化市龍山里中山路2段874巷33號	04-7223138
地區醫院	博愛蕙馨醫院	高雄市左營區博愛二路20號1－7樓	07-8628880
地區醫院	安生醫院	雲林縣斗六市仁愛里永樂街120號	05-5353955
地區醫院	佛教慈濟醫療財團法人斗六慈濟醫院	雲林縣斗六市雲林路二段248號	05-5372000
地區醫院	天主教中華道明修女會醫療財團法人天主教福安醫院	雲林縣斗南鎮文昌路110號	05-5952688
地區醫院	國立臺灣大學醫學院附設醫院金山分院	新北市金山區五湖里玉爐路7號	02-24989898
地區醫院	安心醫院	嘉義市西區新民路88號	05-2353100
地區醫院	博愛外科醫院	臺中市北屯區文心路3段431號	04-22954722
地區醫院	璟馨婦幼醫院	臺南市永康區東橋里東橋七路198號	06-3023366
地區醫院	明德醫院	臺中市梧棲區中正里仁美街33巷50號	04-26579595
地區醫院	宋志懿醫院	彰化縣二林鎮豐田里大成路一段51號	04-8968707
地區醫院	伸港忠孝醫院	彰化縣伸港鄉新港村忠孝路30號	04-7991618
地區醫院	信生醫院	彰化縣彰化市民生里三民路312號	04-7251191
地區醫院	順安醫院	彰化縣彰化市永福里光復路53號	04-7229889
地區醫院	國軍臺中總醫院中清分院附設民眾診療服務處	臺中市北區忠明路500號	04-22037320
地區醫院	清濱醫院	臺中市清水區港埠路4段195號	04-26283995
地區醫院	杏豐醫院	臺中市豐原區三民路106號	04-25234112
地區醫院	彰化基督教醫療財團法人雲林基督教醫院	雲林縣西螺鎮新豐里市場南路371、375號	05-5871111
地區醫院	衛生福利部嘉義醫院	嘉義市西區福全里北港路312號	05-2319090
地區醫院	亞洲大學附屬醫院	臺中市霧峰區福新路222號	04-37061668
地區醫院	彰化基督教醫療財團法人鹿港基督教醫院	彰化縣鹿港鎮中正路480號、永安二路37號、安福街45號	04-7779595
地區醫院	全民醫院	臺中市北屯區中清路二段516號	04-22916666
地區醫院	洪宗鄰醫療社團法人洪宗鄰醫院	彰化縣二林鎮中正路61號	04-8967955
地區醫院	新惠生醫院	臺中市豐原區圓環北路一段319號	04-25228792
地區醫院	法務部矯正署臺中監獄附設培德醫院	臺中市南屯區培德路九號	04-23864341
地區醫院	聯安醫院	臺中市北屯區東光里東山路一段37號	04-22441995
地區醫院	勝美醫院	臺中市北區平等里五權路480．482號	04-22013333
地區醫院	漢忠醫院	臺中市豐原區中正路218號、212巷1－1號	04-25222209
地區醫院	清海醫院	臺中市石岡區金星里石岡街下坑巷41–2號	04-25721694
地區醫院	彰化基督教醫療財團法人員林基督教醫院	彰化縣員林市莒光路456號	04-8381456
地區醫院	員榮醫療社團法人員榮醫院	彰化縣員林市中正路201號、彰化縣員林市莒光路359號	04-8326161
地區醫院	曾漢棋綜合醫院	南投縣草屯鎮炎峰里虎山路915號	049-2314145
地區醫院	祥恩醫院	臺中市豐原區中興路35號	04-25255522
地區醫院	忠港醫院	臺中市梧棲區文化里中興路49號	04-26580298
地區醫院	維新醫療社團法人台中維新醫院	臺中市北區育德路185、187號	04-22038585
地區醫院	中國醫藥大學附設醫院台中東區分院	臺中市東區自由路3段296號	04-22121058
地區醫院	陽光精神科醫院	臺中市清水區大楊南街98號	04-26202949
地區醫院	中國醫藥大學附設醫院豐原分院	臺中市豐原區中正路199號	04-25222538
地區醫院	仁愛醫療財團法人台中仁愛醫院	臺中市中區柳岸里柳川東路三段36號	04-22255450
地區醫院	財團法人台灣省私立台中仁愛之家附設靜和醫院	臺中市西區吉龍里南屯路一段158號	04-23711129
地區醫院	成美醫院	彰化縣彰化市信義里三民路56號及77號1－2樓	04-7273127
地區醫院	新太平澄清醫院	臺中市太平區中興路100號	04-22789900
地區醫院	宏恩醫院龍安分院	臺中市南區德富路145巷2號	04-37017188
地區醫院	本堂澄清醫院	臺中市霧峰區中正路718號	04-23390000
地區醫院	新亞東婦產科醫院	臺中市北區中清路1段403號、407號1樓	04-22075779
地區醫院	臺安醫院雙十分院	臺中市北區雙十路二段29號	04-22268990
地區醫院	員林郭醫院大村分院	彰化縣大村鄉大村村田洋橫巷2–9號	04-8539666
地區醫院	林新醫療社團法人烏日林新醫院	臺中市烏日區榮和路168號	04-23388766
地區醫院	新菩提醫院	臺中市大里區中興路2段621號	04-24829966
地區醫院	茂盛醫院	臺中市北屯區昌平路一段30－6號（1樓至4樓）	04-22347057
地區醫院	台新醫院	臺中市東區東信里振興路439－3號及441號	04-22139966
地區醫院	第一醫院	臺中市中區民族路一八四號	04-22221122
地區醫院	烏日澄清醫院	臺中市烏日區前竹里光明路419號	04-23376232
地區醫院	達明眼科醫院	臺中市大里區中興路二段490號	04-24851437
地區醫院	東勢區農會附設農民醫院	臺中市東勢區南平里豐勢路297號	04-25771919
地區醫院	臺安醫院	臺中市東區進化路203號	04-23602000
地區醫院	友仁醫院	臺中市南屯區五權西路2段197號	04-24739995
地區醫院	佑民醫療社團法人佑民醫院	南投縣草屯鎮太平路一段200號	049-2358151
地區醫院	清泉醫院	臺中市大雅區三和里雅潭路四段80號	04-25605600
地區醫院	賢德醫院	臺中市太平區宜昌路420號	04-22732551
地區醫院	中山醫學大學附設醫院中興分院	臺中市南區復興路2段11號	04-22621652
地區醫院	國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院	新竹縣竹北市生醫路一段2號	03-6677600
地區醫院	竹信醫院	新竹縣竹東鎮仁愛路196號	03-5951825
地區醫院	財團法人臺灣省私立桃園仁愛之家附設苗栗新生醫院	苗栗縣苗栗市維新里新東街117號	037-320988
地區醫院	通霄光田醫院	苗栗縣通霄鎮中山路88號	037-759999
地區醫院	大順醫院	苗栗縣大湖鄉中正路48之5號	037-997666
地區醫院	宏恩醫院	臺中市南區和平里復興路二段38－13號	04-22623123
地區醫院	大千醫療社團法人南勢醫院	苗栗縣苗栗市南勢里南勢52號	037-369936
地區醫院	承安醫院	桃園市中壢區延平路643號	03-2807722
地區醫院	長庚醫療財團法人桃園長庚紀念醫院	桃園市龜山區頂湖路123號、123之1號	03-3196200
地區醫院	新北市立土城醫院（委託長庚醫療財團法人興建經營）	新北市土城區金城路2段6號	02-22630588
地區醫院	新生醫院	臺南市佳里區新生路272號，297號1－4樓	06-7223122
地區醫院	李綜合醫療社團法人苑裡李綜合醫院	苗栗縣苑裡鎮和平路168號、苗栗縣苑裡鎮中華路137號	037-862387
地區醫院	協和醫院	苗栗縣苗栗市中正路1367號	037-352631
地區醫院	崇仁醫院	苗栗縣頭份市東興路110號1、2樓	037-676811#
地區醫院	新中興醫院	新竹市興南街43號	03-5213163
地區醫院	林醫院	新竹縣竹東鎮東林路76號	03-5962316
地區醫院	平和醫療社團法人和平醫院	新竹市北區和平路86-1號	03-5260151
地區醫院	慈祐醫院	苗栗縣竹南鎮民治街17號	037-476589
地區醫院	新仁醫院	新竹縣竹北市博愛街331號	03-5552039
地區醫院	中國醫藥大學新竹附設醫院	新竹縣竹北市興隆路一段199號	03-5580558
地區醫院	南門綜合醫院	新竹市東區林森路20號	03-5261122
地區醫院	龍潭敏盛醫院	桃園市龍潭區中豐路168號	03-4794151
地區醫院	居善醫院	桃園市大園區南港里大觀路910號	03-3866511
地區醫院	大園敏盛醫院	桃園市大園區華中街2號	03-3867521
地區醫院	祐民醫院	桃園市中壢區五權里民族路二段180號	03-4915656
地區醫院	大明醫院	桃園市龜山區龜山里萬壽路二段964號、966號	03-3202792
地區醫院	陽明醫院	桃園市平鎮區延平路二段56號	03-4929929
地區醫院	衛生福利部桃園醫院新屋分院	桃園市新屋區新屋村14鄰新福二路6號	03-4971989
地區醫院	懷寧醫院	桃園市中壢區志廣路119號及正光街229號1樓	03-4919119
地區醫院	長慎醫院	桃園市中壢區中山東路二段525號1─2樓	03-4569779
地區醫院	宋俊宏婦幼醫院	桃園市平鎮區民族路199號	03-4020999
地區醫院	振生醫院	桃園市桃園區三民路二段288號	03-3356156
地區醫院	海天醫療社團法人海天醫院	宜蘭縣壯圍鄉古亭路23－9號	03-9308010
地區醫院	宜蘭員山醫療財團法人宜蘭員山醫院	宜蘭縣員山鄉深溝村尚深路91號	03-9220292
地區醫院	衛生福利部澎湖醫院	澎湖縣馬公市啟明里中正路10號	06-9261151
地區醫院	三軍總醫院澎湖分院附設民眾診療服務處	澎湖縣馬公市前寮里90號	06-9211116
地區醫院	霧峰澄清醫院	臺中市大里區成功路55號	04-24922000
地區醫院	中壢長榮醫院	桃園市中壢區環中東路150號	03-4631230
地區醫院	新莊英仁醫院	新北市新莊區大觀街46－2號	02-29916363
地區醫院	怡濟慈園醫療社團法人宏濟神經精神科醫院	新北市新店區安忠路57巷5號	02-22118899
地區醫院	宏慈療養院	新北市新店區安泰路157號1、2樓	02-22151177
地區醫院	名恩療養院	新北市鶯歌區鶯桃路2段62號及64號1至4樓	02-26701092
地區醫院	培靈醫院	臺北市松山區八德路4段355號	02-27606116
地區醫院	祥顥醫院	新北市中和區景平路412、412之1號1至5樓	02-29468795
地區醫院	泰安醫院	臺北市中山區民權東路2段92巷2－1號（地下1樓至地上6樓）	02-25251111
地區醫院	天主教若瑟醫療財團法人若瑟醫院	雲林縣虎尾鎮新生路74號	05-6337333
地區醫院	長安醫院	臺中市太平區永平路1段9號	04-36113611
地區醫院	大眾醫院	苗栗縣竹南鎮照南里光復路304號	037-551479
地區醫院	德仁醫院	桃園市桃園區桃鶯路245號	03-3617985
地區醫院	連江縣立醫院	連江縣南竿鄉復興村217號	083-623995
地區醫院	宏仁醫院	新北市三重區三和路2段186－196號	02-29784022
地區醫院	板橋國泰醫院	新北市板橋區忠孝路5，7，9，11號1－3樓	02-29583333
地區醫院	益民醫院	新北市新莊區中港路127號1－4樓	02-89911050
地區醫院	財團法人台灣省私立台北仁濟院附設新莊仁濟醫院	新北市新莊區中環路1段28號	02-22015222
地區醫院	中英醫療社團法人板英醫院	新北市板橋區文化路1段267、269、271號1－4樓	02-82513923
地區醫院	三重中興醫院	新北市三重區中興北街21號	02-29959680
地區醫院	永聖醫療社團法人文化醫院	新北市三峽區介壽路1段199號	02-26732885
地區醫院	北新醫療社團法人北新醫院	新北市淡水區忠寮里演戲埔腳1之2號	02-26209199
地區醫院	光雄長安醫院	高雄市岡山區岡山路380－1號，378號，376號Ｂ1－7樓	07-6219156
地區醫院	臺北榮民總醫院鳳林分院	花蓮縣鳳林鎮鳳信里中正路1段2號	03-8764539
地區醫院	新高醫院	高雄市三民區莊敬路288號1-9樓	07-3828814
地區醫院	馨蕙馨醫院	高雄市左營區明誠二路五四一號	07-5586080
地區醫院	臺北榮民總醫院玉里分院	花蓮縣玉里鎮泰昌里新興街91號	03-8883141
地區醫院	奇美醫療財團法人佳里奇美醫院	臺南市佳里區佳興里佳里興606號	06-7263333
地區醫院	國立成功大學醫學院附設醫院斗六分院	雲林縣斗六市莊敬路345號	05-5332121
地區醫院	陽明醫院	嘉義市東區吳鳳北路252號	05-2252000
地區醫院	臺中榮民總醫院灣橋分院	嘉義縣竹崎鄉灣橋村石麻園38號	05-2791072
地區醫院	戴銘浚婦兒醫院	高雄市小港區宏平路661號1至7樓	07-8061289
地區醫院	臺中榮民總醫院埔里分院	南投縣埔里鎮蜈蚣里榮光路1號	049-2990833
地區醫院	大安醫院	新竹縣竹北市博愛街318巷6號	03-5557188
地區醫院	聯新國際醫院桃新分院	桃園市桃園區復興路195號；桃園市南海街7號	03-3325678
地區醫院	國軍桃園總醫院新竹分院附設民眾診療服務處	新竹市北區武陵路3號	03-5348181
地區醫院	臺北榮民總醫院新竹分院	新竹縣竹東鎮中豐路1段81號	03-5962134
地區醫院	新永和醫院	桃園市平鎮區延平路一段81號	03-4220606
地區醫院	宜蘭仁愛醫療財團法人宜蘭仁愛醫院	宜蘭縣宜蘭市中山路2段260號	03-9321888
地區醫院	臺北榮民總醫院蘇澳分院	宜蘭縣蘇澳鎮蘇濱路1段301號、中山路1段439號	03-9905106
地區醫院	臺北榮民總醫院員山分院	宜蘭縣員山鄉榮光路386號、宜蘭縣宜蘭市林森路1號	03-9222141
地區醫院	天主教靈醫會醫療財團法人礁溪杏和醫院	宜蘭縣礁溪鄉礁溪路4段129號	03-9886996
地區醫院	佛教慈濟醫療財團法人關山慈濟醫院	臺東縣關山鎮和平路125－5號	089-814880
地區醫院	衛生福利部金門醫院	金門縣金湖鎮復興路2號、烈嶼鄉上林村后井37號（烈嶼院區）	082-332546
地區醫院	彰化基督教醫療財團法人二林基督教醫院	彰化縣二林鎮南光里大成路一段558號、安和街40巷28號2樓	04-8952031
地區醫院	大千綜合醫院	苗栗市大同路133號、信義路23號、恭敬路36號、信義街36號	037-357125
地區醫院	華揚醫院	桃園市中壢區中北路二段316號	03-4577200
地區醫院	大順醫院	新北市新莊區中正路215號1－4樓	02-29911726
地區醫院	天主教仁慈醫療財團法人仁慈醫院	新竹縣湖口鄉孝勢村忠孝路29號	03-5993500
地區醫院	板新醫院	新北市板橋區中正路189號	02-29609955
地區醫院	臺北榮民總醫院臺東分院	臺東縣臺東市南榮里更生路1000號	089-222995
地區醫院	新國民醫療社團法人新國民醫院	桃園市中壢區復興路152號	03-4225180
地區醫院	仁安醫院	新北市土城區中央路1段62．64號	02-22627088
地區醫院	竹山秀傳醫療社團法人竹山秀傳醫院	南投縣竹山鎮集山路2段75號	049-2624266
地區醫院	瑞祥醫院	高雄市前鎮區班超路92號1－7樓	07-7717503
地區醫院	三軍總醫院基隆分院附設民眾診療服務處	基隆市中正區正榮街100號，仁愛區孝二路39號2樓	02-24633330
地區醫院	全民醫院	新北市蘆洲區三民路5、7、9號（1）樓	02-22821575
地區醫院	宏其醫療社團法人宏其婦幼醫院	桃園市中壢區元化路223號	03-4618888
地區醫院	中美醫院	桃園市中壢區中美路95號1－3樓(含1樓夾層)	03-4266222
地區醫院	永和復康醫院	新北市永和區中和路575、577、579號1至4樓	02-29240925
地區醫院	瑞芳礦工醫院	新北市瑞芳區一坑路71之2號	02-24974101
地區醫院	新仁醫療社團法人新仁醫院	新北市新莊區中正路395號、福海街24巷1號	02-22017212
地區醫院	秉坤婦幼醫院	桃園市平鎮區延平路2段129號	03-4025866
地區醫院	公祥醫院	新北市淡水區英專路21巷25、27號、中山路38、40號	02-26217638
地區醫院	國立臺灣大學醫學院附設醫院北護分院	臺北市萬華區康定路37號、臺北市萬華區內江街87號	02-23717101
地區醫院	臺北市立關渡醫院-委託臺北榮民總醫院經營	臺北市北投區知行路225巷12號	02-28587000
地區醫院	協和婦女醫院	臺北市中山區松江路85巷5號93巷6號93巷6號2樓	02-25072222
地區醫院	林森醫院	臺中市西區三民里三民路一段152－1號	04-22227800
地區醫院	道安醫院	彰化縣溪湖鎮光平里彰水路3段362號	04-8852309
地區醫院	梓榮醫療社團法人弘大醫院	苗栗縣苗栗市新東街125號	037-361188
地區醫院	財團法人台灣省私立桃園仁愛之家附設新竹新生醫院	新竹市北區興南里西門街120號	03-5265808
地區醫院	重光醫院	苗栗縣頭份市中華路1037、1039、1041、1043號	037-663030
地區醫院	國泰醫療財團法人新竹國泰綜合醫院	新竹市東區福德里中華路二段678號及678號之1	03-5278999
地區醫院	怡和醫院	新北市中和區連城路49號1至4樓	02-22450009
地區醫院	中祥醫院	新北市中和區中山路2段138號2－4樓140號及142號	02-22405055
地區醫院	板橋中興醫院	新北市板橋區忠孝路15號、新北市土城區中華路1段32號	02-29590707
地區醫院	秀傳醫院	臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓	02-27717172
地區醫院	天成醫院	桃園市楊梅區新成路196號、中山北路一段356號	03-4782350
地區醫院	仁愛醫院	新北市樹林區文化街9號	02-26834567
地區醫院	怡仁綜合醫院	桃園市楊梅區楊新北路321巷30號	03-4855566
地區醫院	新泰綜合醫院	新北市新莊區新樹路176號	02-29962121
地區醫院	中心診所醫療財團法人中心綜合醫院	臺北市大安區忠孝東路4段77號	02-27510221
地區醫院	新昆明醫院	基隆市中正區中正路30號	02-24268106
地區醫院	景美醫院	臺北市文山區羅斯福路6段280號及文山區育英街18巷2號1樓	02-29331010
地區醫院	郵政醫院（委託中英醫療社團法人經營）	臺北市中正區福州街14號	02-23956755
地區醫院	恩樺醫院	新北市土城區中央路1段7－18號地下1樓、1樓、2樓	02-22639955
地區醫院	蕙生醫院	新北市中和區中山路2段551號地下1樓至地上1至6樓	02-22236339
地區醫院	元復醫院	新北市土城區中央路2段318－324號1－4樓	02-22661886
地區醫院	廣川醫院	新北市土城區裕民路274、276、278號	02-22617000
地區醫院	祐民醫院	新北市三重區重新路2段2、6號，地下1層至地上9層	02-29783456
地區醫院	衛生福利部樂生療養院	新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號	02-82006600
